,city_id,dt,temp,feels_like,pressure,humidity,temp_min,temp_max,
0,1,1686153600,30.23,30.21,1009,42,28.73,30.23,6/7/2023
1,1,1686157200,30.23,30.21,1009,42,28.73,30.23,6/7/2023
2,1,1686160800,29.23,29.71,1009,48,28.73,29.23,6/7/2023
3,1,1686164400,27.73,29.58,1009,65,27.73,27.73,6/7/2023
4,1,1686168000,27.73,29.58,1009,65,27.73,27.73,6/7/2023
5,1,1686171600,27.73,29.58,1009,65,27.73,27.73,6/7/2023
6,1,1686175200,27.73,29.58,1010,65,27.73,27.73,6/7/2023
7,1,1686178800,26.73,28.34,1010,69,26.73,26.73,6/7/2023
8,1,1686182400,25.73,26.26,1010,73,25.73,25.73,6/8/2023
9,1,1686186000,25.73,26.26,1010,73,25.73,25.73,6/8/2023
10,1,1686189600,28.23,29.44,1010,57,26.73,28.23,6/8/2023
11,1,1686193200,29.23,31.11,1011,58,28.73,29.23,6/8/2023
12,1,1686196800,30.23,31.56,1011,51,30.23,30.73,6/8/2023
13,1,1686200400,32.23,33.62,1011,45,31.73,32.23,6/8/2023
14,1,1686204000,33.23,34.85,1010,43,33.23,33.73,6/8/2023
15,1,1686207600,35.23,37.04,1009,38,35.23,35.73,6/8/2023
16,1,1686211200,36.23,38.25,1008,36,36.23,36.73,6/8/2023
17,1,1686214800,36.23,37.63,1008,34,36.23,36.23,6/8/2023
18,1,1686218400,38.23,38.85,1007,27,37.73,38.23,6/8/2023
19,1,1686222000,38.23,38.85,1006,27,38.23,38.73,6/8/2023
20,1,1686225600,37.23,37.55,1006,28,35.73,37.23,6/8/2023
21,1,1686229200,34.23,33.09,1006,27,33.73,34.23,6/8/2023
22,1,1686232800,33.23,33.12,1007,35,33.23,33.73,6/8/2023
23,1,1686236400,31.23,31.53,1007,42,31.23,32.73,6/8/2023
24,1,1686240000,30.23,31.07,1008,48,30.23,31.73,6/8/2023
25,1,1686243600,31.73,32.81,1009,45,31.73,31.73,6/8/2023
26,1,1686247200,30.73,32.36,1009,51,30.73,30.73,6/8/2023
27,1,1686250800,29.73,31.96,1009,58,29.73,29.73,6/8/2023
28,1,1686254400,28.73,30.17,1009,57,28.73,28.73,6/8/2023
29,1,1686258000,28.73,30.73,1008,61,28.73,28.73,6/8/2023
30,1,1686261600,27.73,29.58,1008,65,27.73,27.73,6/8/2023
31,1,1686265200,27.73,29.58,1008,65,27.73,27.73,6/8/2023
32,1,1686268800,26.73,28.62,1009,73,26.73,26.73,6/9/2023
33,1,1686272400,26.73,28.34,1009,69,26.73,26.73,6/9/2023
34,1,1686276000,28.23,29.92,1009,61,27.73,28.23,6/9/2023
35,1,1686279600,29.23,31.11,1010,58,28.73,29.23,6/9/2023
